transaction_id,jurisdiction,currency,counterparty_name,trade_date,reporting_timestamp,counterparty_lei,instrument_id,instrument_name,execution_timestamp,venue,price,debit,credit
TXN-1001,EU,EUR,Solano Ridge Asset Management,2023-05-07,2023-05-08,HUSWKKX9XCVBX3BU6LVY,IRS-20239666,Interest Rate Swap 10Y,2023-05-07T00:00:00,XFRA,98.0,0.0,4565893.0
TXN-1002,US,USD,Kestrel Harbor Investments,2023-05-16,2023-05-16,CGUIRDYNIZBT1GH8NQ9D,FXF-20234073,FX Forward EUR/USD,2023-05-16T00:00:00,XNAS,100.4,1155664.0,0.0
TXN-1003,APAC,AUD,Northbridge Capital Partners,2023-05-10,2023-05-11,RZ7J9N4OHNWUPRXZY2OA,FXF-20239006,FX Forward USD/JPY,2023-05-10T00:00:00,XASX,105.44,0.0,198738.0
TXN-1004,EU,EUR,Farview Global Markets,2023-05-12,2023-05-13,KQH886E1GIHL76WX8V08,CDS-20236056,Credit Default Swap,2023-05-12T00:00:00,XFRA,92.39,76230.0,0.0
TXN-1005,US,USD,Cedarline Asset Advisors,2023-05-14,2023-05-17,ZN0IOOZM55D3WO29M5GV,EQO-20236915,Equity Index Option,2023-05-14T00:00:00,XNAS,102.49,0.0,3663729.0
TXN-1006,APAC,AUD,Windmere Trading LLC,2023-05-25,2023-05-25,1T3K1Y6A0MCFH0I6XO55,XCS-20232495,Cross-Currency Swap,2023-05-25T00:00:00,XASX,98.08,4189437.9999999995,0.0
TXN-1007,EU,EUR,Blackthorn Capital Group,2023-05-17,2023-05-18,BCQBB1W56ASBZ5F5DKQX,CMS-20239004,Commodity Swap - Brent,2023-05-17T00:00:00,XLON,102.67,0.0,4621625.0
TXN-1008,US,USD,Silverpine Financial Ltd,2023-05-11,2023-05-11,P6IFP2CT9SZCST5G6RAK,IRS-20239155,Interest Rate Swap 5Y,2023-05-11T00:00:00,XNYS,92.27,3928051.0,0.0
TXN-1009,APAC,AUD,Harborstone Investment Partners,2023-05-23,2023-05-25,BADLEI123,IRS-20231262,Interest Rate Swap 10Y,2023-05-23T00:00:00,XHKG,109.64,0.0,4217362.0
TXN-1010,EU,EUR,Meridian Ridge Capital,2023-05-20,2023-05-21,ALE5I8SPCTX6XKH9T8Y8,FXF-20233200,FX Forward EUR/USD,2023-05-20T00:00:00,XPAR,95.68,1288939.0,0.0
TXN-1011,US,USD,Oakfield Global Advisors,2023-05-14,2023-05-14,8P96D6NUTHGCQ6LVV3H0,FXF-20231225,FX Forward USD/JPY,2023-05-14T00:00:00,XNYS,100.05,0.0,25000.0
TXN-1012,APAC,AUD,Alderbrook Capital LLP,2023-05-15,2023-05-15,SD8Q132F8X2486U5W6CR,,Credit Default Swap,2023-05-15T00:00:00,XASX,97.89,977404.0000000001,0.0
TXN-1013,EU,EUR,Solano Ridge Asset Management,2023-05-22,2023-05-23,X5VWB0BZQ6I2Z8YXMG9T,EQO-20233368,Equity Index Option,2023-05-22T00:00:00,XLON,105.92,0.0,4467580.0
TXN-1014,US,USD,Kestrel Harbor Investments,2023-05-12,2023-05-15,17B5WVYVVFO6HEDF538P,XCS-20235465,Cross-Currency Swap,2023-05-12T00:00:00,XNAS,104.29,1655477.0,0.0
TXN-1015,APAC,AUD,Northbridge Capital Partners,2023-05-19,2023-05-19,S1ZZWILAA75YAPEV2CLZ,CMS-20232679,Commodity Swap - Brent,2023-05-19T00:00:00,XSES,105.16,0.0,1944399.0000000002
TXN-1016,EU,EUR,Farview Global Markets,2023-05-25,2023-05-25,E3ELPZZU963WJE974JS5,IRS-20235611,Interest Rate Swap 5Y,2023-05-25T00:00:00,XFRA,108.89,0.0,0.0
TXN-1017,US,USD,Cedarline Asset Advisors,2023-05-20,2023-05-20,866LCA6J2ML4B8WQZH2Z,IRS-20231417,Interest Rate Swap 10Y,2023-05-20T00:00:00,,95.21,0.0,2783502.0
TXN-1018,APAC,AUD,Windmere Trading LLC,2023-05-07,2023-05-08,K29YU9JIX889R5XW5LMW,FXF-20233914,FX Forward EUR/USD,2023-05-07T00:00:00,XASX,97.55,3359501.9999999995,0.0
TXN-1019,EU,EUR,Blackthorn Capital Group,2023-05-17,2023-05-18,YVMS9LSLIG1N4SPE8LYU,FXF-20238651,FX Forward USD/JPY,2023-05-17T00:00:00,XPAR,105.83,0.0,2408666.0
TXN-1020,US,USD,Silverpine Financial Ltd,2023-05-25,2023-05-25,N4E8W2KRLIJQGMI0BE2S,CDS-20232365,Credit Default Swap,2023-05-25T00:00:00,XNAS,,588957.0,0.0
TXN-1021,APAC,AUD,Harborstone Investment Partners,2023-05-17,2023-05-19,D9F4S0JZSCM1T1HACM1Y,EQO-20231823,Equity Index Option,2023-05-17T00:00:00,XASX,94.47,0.0,4361545.0
TXN-1022,EU,EUR,Meridian Ridge Capital,2023-05-06,2023-05-09,5UPUK98STRNO4ACPWKLJ,XCS-20236063,Cross-Currency Swap,2023-05-06T00:00:00,XLON,99.11,107733.99999999999,0.0
TXN-1023,US,USD,Oakfield Global Advisors,2023-05-21,2023-05-21,19ZH1190QI6TM12M8FRE,CMS-20232838,Commodity Swap - Brent,2023-05-21T00:00:00,XNYS,98.36,0.0,1367561.0
TXN-1024,APAC,AUD,Alderbrook Capital LLP,2023-05-24,2023-05-25,E6AR5KUZYV0M678AUF1Q,IRS-20236989,Interest Rate Swap 5Y,2023-05-24T00:00:00,XSES,101.11,4163803.0,0.0
TXN-1025,EU,EUR,Solano Ridge Asset Management,2023-05-05,2023-05-05,JSQUNIAMDA5714HZ7CLA,IRS-20232077,Interest Rate Swap 10Y,2023-05-05T00:00:00,XPAR,91.77,0.0,4537637.0
TXN-1026,US,USD,Kestrel Harbor Investments,2023-05-25,2023-05-25,WOUNBK77R3O076XO3QE2,FXF-20238043,FX Forward EUR/USD,2023-05-25T00:00:00,XNAS,108.53,2852291.0,0.0
TXN-1027,APAC,AUD,Northbridge Capital Partners,2023-05-10,2023-05-13,XE7FBMKWP4KPHDDYC5C0,FXF-20235188,FX Forward USD/JPY,2023-05-10T00:00:00,XHKG,102.04,0.0,1276661.0
TXN-1028,EU,EUR,Farview Global Markets,2023-05-19,2023-05-19,R1VUFAELZ7NZ0IZV3QZ9,CDS-20232276,Credit Default Swap,2023-05-19T00:00:00,XFRA,100.73,3953506.0,0.0
TXN-1029,US,USD,Cedarline Asset Advisors,2023-05-24,2023-05-24,Z1WNXBZNGCWR8OY1JQVZ,EQO-20231125,Equity Index Option,2023-05-24T00:00:00,XNAS,94.66,0.0,2351484.0
TXN-1030,APAC,AUD,Windmere Trading LLC,2023-05-13,2023-05-13,CR9V7HSFZ7F6VUFFD3K3,XCS-20234735,Cross-Currency Swap,2023-05-13T00:00:00,XSES,106.85,3275736.0,0.0
TXN-1008,EU,EUR,Farview Global Markets,2023-05-12,2023-05-13,KQH886E1GIHL76WX8V08,CDS-20236056,Credit Default Swap,2023-05-12T00:00:00,XFRA,92.39,76230.0,0.0
